sender_code,sender_point_id,recipient_point_id,MIN,MAX
31820,290507,770809,3.0,3.0
36612,954403,302600,17.0,17.0
31820,255908,770809,14.0,14.0
216,35207,31600,14.0,14.0
36612,35902,302507,44.0,44.0
8804,183502,318505,55.0,55.0
36612,220307,625200,3.0,3.0
26192,510401,770005,28.0,28.0
2552,800205,782308,19.0,19.0
36612,131207,625200,14.0,14.0
26192,864103,770005,116.0,116.0
2552,510007,782308,11.0,11.0
216,773008,302507,41.0,41.0
26192,864207,865106,229.0,229.0
216,790408,31600,14.0,17.0
8804,525500,183502,28.0,28.0
36612,852200,302507,6.0,6.0
216,38008,31600,25.0,41.0
216,316209,302507,110.0,110.0
39684,625107,318401,61.0,61.0
144,592401,592204,41.0,41.0
11748,852708,761602,0.0,55.0
26192,767308,770005,44.0,44.0
36612,634801,302507,3.0,3.0
156,797604,243607,85.0,85.0
2552,781409,932705,19.0,19.0
8804,183502,215807,3.0,3.0
144,35902,592204,4299.0,4299.0
216,438406,302507,6.0,6.0
36612,216800,302600,50.0,50.0
156,261307,243607,8.0,8.0
31820,650005,808300,14.0,14.0
216,860206,302507,17.0,17.0
156,760008,243607,6.0,6.0
39684,625107,635607,3.0,3.0
26192,520901,770005,28.0,28.0
26192,864207,863007,1135.0,1135.0
26192,803307,860009,6.0,6.0
7348,841402,863204,69.0,69.0
144,592204,271309,3.0,3.0
216,252401,302507,25.0,25.0
1168,238207,594206,96.0,96.0
144,240000,592204,6.0,6.0
31820,35508,247206,165.0,165.0
8804,235105,183502,39.0,39.0
144,255409,592204,3.0,3.0
5556,253207,666906,3.0,3.0
1168,195800,594206,190.0,190.0
6636,850308,620207,0.0,14.0
9088,20108,674000,138.0,413.0
216,831504,31600,6.0,6.0
156,582005,243607,11.0,11.0
39684,560307,523505,0.0,28.0
26192,773008,770005,138.0,138.0
316,290901,16308,0.0,22.0
19156,980906,863907,276.0,276.0
216,801405,302600,11.0,11.0
216,35207,302507,3.0,3.0
26192,864103,863007,220.0,220.0
216,140403,302507,25.0,25.0
26192,817507,773008,328.0,328.0
144,210004,592204,25.0,25.0
216,641608,302507,6.0,6.0
144,980605,592204,6.0,6.0
26192,743209,511404,3.0,3.0
2552,261203,782308,77.0,77.0
2552,655009,780800,6.0,6.0
39684,625107,285602,193.0,193.0
144,130204,592204,36.0,36.0
39684,671707,625107,6.0,6.0
26192,860009,864207,28.0,28.0
2768,947005,940701,0.0,1102.0
2552,238601,782308,63.0,63.0
144,592204,140403,14.0,14.0
144,525500,592204,39.0,39.0
1124,18502,887800,196.0,413.0
36612,438800,302507,22.0,22.0
8804,183502,237007,3.0,3.0
144,592204,213905,165.0,165.0
39684,597104,625107,6.0,22.0
144,208108,592204,14.0,14.0
216,645806,302507,3.0,3.0
5676,661601,610402,0.0,14.0
26192,31600,864207,8.0,8.0
36612,598408,302507,8.0,8.0
144,592204,640003,8.0,8.0
39684,625107,630302,63.0,63.0
144,630209,592204,8.0,8.0
8804,183502,188205,138.0,138.0
216,770005,302304,28.0,41.0
39684,641608,625107,6.0,6.0
36612,636807,625200,22.0,22.0
8804,183502,194300,276.0,276.0
13256,288308,648400,0.0,28.0
216,864103,302507,17.0,17.0
144,200905,592204,138.0,138.0
36612,975202,302600,3.0,3.0
216,828501,31600,6.0,6.0
216,645806,302507,3.0,3.0
36580,690002,238601,0.0,8.0
39684,523505,285706,14.0,14.0
26192,864207,864902,276.0,276.0
156,318505,243607,3.0,6.0
8804,183502,208201,41.0,41.0
36580,932601,238601,0.0,6.0
26192,291707,770005,28.0,28.0
1120,817507,438406,0.0,14.0
36612,438800,625200,19.0,19.0
26192,864207,865106,193.0,193.0
144,592204,317108,25.0,25.0
216,307106,302600,17.0,30.0
144,31600,592204,8.0,8.0
144,592204,610402,14.0,14.0
5556,523007,618300,14.0,14.0
36612,692807,302507,6.0,6.0
26084,743407,302507,11.0,11.0
39684,625107,191104,11.0,11.0
36612,829106,625200,3.0,3.0
36612,810809,625200,11.0,11.0
2552,891806,782308,19.0,19.0
2552,190807,782308,14.0,14.0
156,840109,647801,0.0,6.0
216,35809,302507,8.0,8.0
39684,625107,284008,3.0,3.0
216,150000,302507,55.0,55.0
26192,801405,770005,99.0,99.0
36612,596101,302600,30.0,30.0
216,302507,782007,783.0,882.0
39684,262704,625107,3.0,22.0
31820,932902,795401,193.0,193.0
216,172404,302507,11.0,11.0
144,247403,592204,6.0,6.0
216,630209,302507,17.0,17.0
8804,261203,183502,17.0,17.0
2552,194403,782308,14.0,14.0
144,538708,592204,33.0,33.0
144,592204,310700,176.0,176.0
36612,228807,302600,3.0,3.0
216,435501,302600,41.0,41.0
144,652602,592204,799.0,799.0
39684,625107,233805,6.0,6.0
2552,199801,782308,33.0,33.0
26192,864103,863308,493.0,493.0
560,967808,862409,0.0,413.0
2552,781409,256205,6.0,6.0
216,588904,302507,36.0,36.0
156,794305,243607,22.0,22.0
31820,510401,585003,8.0,8.0
26192,984700,864902,1353.0,1353.0
216,183606,302507,14.0,14.0
216,194808,302507,6.0,6.0
26192,850505,864207,14.0,14.0
26192,851207,864207,105.0,105.0
31820,220504,890108,25.0,25.0
31820,73001,291302,138.0,138.0
216,302507,318401,6.0,6.0
144,592204,801405,3.0,3.0
26192,211903,770005,107.0,107.0
36612,527402,302507,19.0,19.0
39684,30006,625107,69.0,273.0
8804,657803,183502,17.0,17.0
36612,48001,303603,14.0,14.0
36612,310607,302600,3.0,3.0
36612,836601,625200,11.0,11.0
39684,523505,180203,110.0,276.0
144,761602,592204,3.0,3.0
5556,254604,666906,3.0,3.0
36612,234301,625200,3.0,3.0
2552,781409,870405,3.0,3.0
26192,801208,860009,6.0,6.0
216,215506,302507,3.0,3.0
144,192501,592204,14.0,14.0
144,850401,592204,3.0,3.0
2552,781409,888305,3.0,3.0
144,36200,592204,3.0,3.0
36612,852200,302600,3.0,3.0
216,727902,302507,3.0,3.0
216,530405,302507,39.0,39.0
19392,970406,962109,0.0,28.0
144,269309,592204,39.0,39.0
216,318401,302507,110.0,110.0
7348,525002,841402,3.0,3.0
144,592204,191000,196.0,196.0
2552,781409,843200,47.0,47.0
19392,953504,974407,0.0,69.0
36612,516003,302600,220.0,220.0
39684,523505,31808,0.0,41.0
216,773008,302507,41.0,41.0
19392,960103,974407,0.0,69.0
19156,980906,863907,138.0,138.0
31820,438406,535907,83.0,83.0
216,194403,302507,3.0,3.0
144,592204,623703,6.0,6.0
216,770902,302507,3.0,3.0
8840,864207,871304,0.0,138.0
2596,16009,887603,0.0,276.0
216,853109,302507,3.0,3.0
31820,275704,770809,3.0,3.0
39684,435906,625107,0.0,6.0
31820,696303,761602,276.0,276.0
36612,530405,625200,14.0,14.0
26192,763701,770005,36.0,36.0
13804,935506,193006,0.0,8.0
2552,870000,782308,30.0,30.0
39684,716908,625107,6.0,6.0
1104,520808,674103,0.0,28.0
26192,61201,864207,14.0,14.0
8804,183502,648503,8.0,8.0
216,619407,302507,11.0,11.0
144,592204,645100,28.0,28.0
144,592204,234102,44.0,44.0
31820,540500,585003,41.0,41.0
2552,932601,780800,3.0,3.0
216,35004,302507,11.0,11.0
216,35004,302507,14.0,14.0
39684,523505,435906,55.0,110.0
216,16308,302507,8.0,8.0
7348,841402,864103,287.0,287.0
26192,302507,864902,135.0,135.0
216,261307,302507,11.0,11.0
2552,250904,780800,8.0,8.0
5556,538708,618300,3.0,3.0
36612,214109,302600,14.0,14.0
36612,518403,302507,14.0,14.0
216,190807,302507,33.0,33.0
216,43504,302600,0.0,25.0
31820,799506,770809,28.0,28.0
144,214005,592204,3.0,3.0
216,302507,265007,8.0,8.0
2552,781409,240902,8.0,8.0
19392,953504,974407,0.0,69.0
216,596309,302507,11.0,11.0
144,248504,592204,11.0,11.0
7348,864207,841402,242.0,242.0
2552,781409,780707,0.0,0.0
144,890004,592204,6.0,6.0
2552,31808,780800,39.0,39.0
216,180608,302507,8.0,8.0
31820,13801,247206,3.0,3.0
144,200905,592204,11.0,11.0
31820,255409,770809,25.0,25.0
39684,523505,538708,0.0,55.0
2552,525604,782308,11.0,11.0
216,530405,302507,39.0,39.0
144,840109,592204,28.0,28.0
144,592204,202008,14.0,14.0
144,800101,592204,44.0,44.0
2552,781409,770005,132.0,132.0
25444,989309,931505,0.0,551.0
36612,245003,625200,8.0,8.0
10664,850308,780001,3.0,3.0
144,512208,592204,44.0,44.0
216,648400,302507,138.0,138.0
2552,190807,780800,41.0,41.0
39684,238601,625107,83.0,251.0
36612,600102,302600,218.0,218.0
144,592204,763701,6.0,6.0
156,911408,243607,3.0,17.0
19392,965501,962202,0.0,69.0
144,610900,592204,3.0,3.0
216,647801,302507,6.0,6.0
36612,632505,625200,8.0,8.0
26192,255409,773008,0.0,28.0
216,235105,302507,8.0,8.0
31820,887603,696303,248.0,248.0
26192,521001,770005,28.0,28.0
26192,786506,770005,3.0,3.0
144,512407,592204,47.0,47.0
39684,723403,625107,3.0,33.0
144,290507,592204,3.0,3.0
144,525604,592204,30.0,30.0
8804,183502,630001,36.0,36.0
216,210305,302304,14.0,14.0
19392,970001,974407,0.0,41.0
1104,843200,674103,0.0,28.0
216,790408,31600,6.0,6.0
26192,863907,770005,28.0,28.0
144,144601,592204,6.0,6.0
36612,303603,302507,6.0,6.0
144,159503,592204,215.0,215.0
31820,987207,890108,85.0,85.0
39684,30805,625107,3.0,17.0
39684,700100,625107,55.0,55.0
7348,712700,841402,11.0,11.0
31820,40101,585003,8.0,8.0
5556,516200,618300,6.0,6.0
216,240000,302507,33.0,33.0
144,654701,592204,3.0,3.0
216,38309,302507,3.0,3.0
2552,781409,654504,6.0,6.0
11392,684001,235209,0.0,6.0
36612,234301,302507,14.0,14.0
216,530000,302507,8.0,8.0
144,592204,312706,33.0,33.0
216,302507,253103,6.0,6.0
216,700100,302507,14.0,14.0
216,780302,302507,11.0,11.0
216,32406,302507,3.0,3.0
2552,781409,250603,3.0,3.0
2552,611000,782308,3.0,3.0
216,435906,302507,8.0,8.0
26192,864902,865208,1824.0,1824.0
39684,180203,625107,41.0,77.0
2552,781409,863907,110.0,110.0
216,145201,302507,33.0,33.0
7348,841402,864103,397.0,397.0
9124,798700,511508,0.0,14.0
4928,947005,888305,83.0,165.0
36612,640906,302600,17.0,17.0
26192,864207,864103,66.0,66.0
216,261203,302507,3.0,3.0
144,159404,592204,386.0,386.0
144,191000,592204,196.0,196.0
216,780302,31600,22.0,22.0
216,199801,302507,17.0,17.0
5556,226407,618300,55.0,55.0
144,763701,592204,25.0,25.0
31820,887603,795401,50.0,50.0
26192,860009,864207,41.0,41.0
216,179102,302507,6.0,6.0
36612,248105,302600,3.0,3.0
31820,289707,770809,61.0,61.0
216,220203,302507,19.0,19.0
8804,183502,630302,74.0,74.0
36612,35601,302600,47.0,47.0
144,592204,211401,3.0,3.0
26192,864207,871304,83.0,83.0
31820,527807,864103,39.0,39.0
2552,761405,780800,11.0,11.0
8804,183502,633705,69.0,69.0
1440,195800,592401,138.0,138.0
26192,743209,511404,3.0,3.0
2552,781409,924906,22.0,22.0
144,592204,520808,3.0,3.0
144,196502,592204,88.0,88.0
144,521406,592204,204.0,204.0
216,302507,289406,8267.0,8267.0
144,592204,862606,1378.0,1378.0
